51,EMI Sus. y Prod. Químicos,El Estimador Mensual Industrial (EMI) era un indicador de coyuntura que mide la evolución de la producción indus-trial con periodicidad mensual. FUENTE: INDEC
52,EMI Caucho y Plástico,El Estimador Mensual Industrial (EMI) era un indicador de coyuntura que mide la evolución de la producción indus-trial con periodicidad mensual. FUENTE: INDEC
53,EMI Minerales no metálicos,El Estimador Mensual Industrial (EMI) era un indicador de coyuntura que mide la evolución de la producción indus-trial con periodicidad mensual. FUENTE: INDEC
54,EMI Ind. Metálicas básicas,El Estimador Mensual Industrial (EMI) era un indicador de coyuntura que mide la evolución de la producción indus-trial con periodicidad mensual. FUENTE: INDEC
55,EMI Automotores,El Estimador Mensual Industrial (EMI) era un indicador de coyuntura que mide la evolución de la producción indus-trial con periodicidad mensual. FUENTE: INDEC
56,EMI Metalmecánica Exc. Automotores,El Estimador Mensual Industrial (EMI) era un indicador de coyuntura que mide la evolución de la producción indus-trial con periodicidad mensual. FUENTE: INDEC
57,Producción Transp BK,Produccion de material de transporte de bienes de capital. FUENTE: ADEFA
58,Exportación Transp BK,Exportacion de material de transporte de bienes de capital. FUENTE: ADEFA
59,Ventas Transp BK,Venta de material de transporte de bienes de capital. FUENTE: ADEFA
60,Entrega de gas a la Industria,Entrega de gas a la indsutria en miles de metros cubicos. FUENTE: ENARGAS
61,Prod. Expeller soja,Detalle mensual de la producción de expellers de soja en toneladas.
62,Expo PP,Exportaciones de productos primarios.
63,Expo MOA,Exportaciones de manufacturas de origen agropecuario. FUENTE: INDEC
64,Ventas de GasOil,Ventas de gasoil en el mercado interno. FUENTE: Secretaria de Energia y Mineria
65,Demanda Total Energia,Demanda total de energia argentina. FUENTE: CAMMESA
66,Soja a industria aceitera,Granos de soja en toneladas que ingresan a la industria aceitera. Serie mensual.
67,Arroz cáscara a industria,Una vez cosechado o almacenado, el arroz cáscara se transporta a las plantas de industrialización (Industrial Arrocero) para su procesamiento a producto arroz. Año comercial de Abril a Marzo. En toneladas.
68,Avena a industria,Ingreso a planta de granos de Avena con destino a la industria. Año Comercial desde Diciembre a Noviembre. En toneladas.
69,Produccion de Gas,Produccion de gas en el mercado interno. FUENTE: Secretaria de Energia y Mineria
70,Produccion de Petroleo,Produccion de petroleo en el mercado interno. FUENTE: Secretaria de Energia y Mineria
71,UCI Nivel general,Indicador  de  la  Utilización  de  la  Capacidad  Instalada  en  la  Industria  que mide  la proporción  de  la  capacidad  instalada  del sector  industrial. FUENTE: INDEC
72,UCI Productos alimenticios y bebidas,Indicador  de  la  Utilización  de  la  Capacidad  Instalada  en  la  Industria de Productos alimenticios y bebidas. FUENTE: INDEC
73,UCI Productos del tabaco,Indicador  de  la  Utilización  de  la  Capacidad  Instalada  en  la  Industria de Productos del Tabaco. FUENTE: INDEC
74,UCI Productos textiles,Indicador  de  la  Utilización  de  la  Capacidad  Instalada  en Productos Textiles. FUENTE: INDEC
75,UCI Papel y cartón,Indicador  de  la  Utilización  de  la  Capacidad  Instalada  en  Papel y Carton. FUENTE: INDEC
76,UCI Edición e impresión,Indicador  de  la  Utilización  de  la  Capacidad  Instalada  en  Edicion e Impresion. FUENTE: INDEC
77,UCI Refinación del petróleo,Indicador  de  la  Utilización  de  la  Capacidad  Instalada  en  Refinacion del petroleo. FUENTE: INDEC
78,UCI Sustancias y productos químicos,Indicador  de  la  Utilización  de  la  Capacidad  Instalada  en  sustancias y productos quimicos. FUENTE: INDEC
79,UCI Productos de caucho y plástico,Indicador  de  la  Utilización  de  la  Capacidad  Instalada  en  Productos de caucho y plastico. FUENTE: INDEC
80,UCI Productos minerales no metálicos,Indicador  de  la  Utilización  de  la  Capacidad  Instalada  en  Productos minerales no metalicos. FUENTE: INDEC
81,UCI Industrias metálicas básicas,Indicador  de  la  Utilización  de  la  Capacidad  Instalada  en  Industrias metalicas basicas. FUENTE: INDEC
82,UCI Industria automotriz,Indicador  de  la  Utilización  de  la  Capacidad  Instalada  en  Industria Automotriz. FUENTE: INDEC
83,UCI Metalmecánica excluida industria automotriz,Indicador  de  la  Utilización  de  la  Capacidad  Instalada  en  Metalmecanica excluida industria automotriz. FUENTE: INDEC
